Unnamed: 0,cgpa,iq,placement
0,7.1,118.0,0
1,6.33,106.0,0
2,7.28,117.0,0
3,8.33,126.0,1
4,6.22,116.0,1
5,6.22,116.0,1
6,8.4,101.0,0
7,7.42,102.0,1
8,5.94,87.0,0
9,7.15,150.0,0
10,5.94,90.0,0
11,5.94,101.0,0
12,6.79,101.0,0
13,4.2,133.0,0
14,4.43,109.0,0
15,5.83,140.0,0
16,5.28,102.0,0
17,6.88,121.0,0
18,5.41,98.0,0
19,4.81,158.0,0
20,8.26,91.0,1
21,6.23,121.0,1
22,6.58,128.0,0
23,4.79,123.0,0
24,5.85,111.0,0
25,6.63,112.0,0
26,5.12,116.0,0
27,6.95,112.0,0
28,5.78,134.0,1
29,6.15,159.0,0
30,5.78,104.0,1
31,8.72,88.0,0
32,6.48,113.0,0
33,5.23,167.0,0
34,7.49,99.0,0
35,5.03,148.0,0
36,6.75,149.0,1
37,4.15,104.0,1
38,4.91,126.0,0
39,6.74,148.0,0
40,7.39,107.0,1
41,6.71,111.0,1
42,6.36,103.0,0
43,6.14,95.0,0
44,4.73,102.0,0
45,5.64,91.0,0
46,5.95,116.0,0
47,7.77,100.0,0
48,6.91,120.0,0
49,4.38,84.0,0
50,6.89,122.0,0
51,6.04,132.0,0
52,5.69,80.0,1
53,7.23,122.0,0
54,7.74,140.0,1
55,7.62,91.0,1
56,5.49,148.0,0
57,6.13,123.0,0
58,6.9,101.0,0
59,7.67,114.0,1
60,5.92,126.0,0
61,6.28,117.0,0
62,5.17,126.0,0
63,5.06,97.0,0
64,7.48,118.0,1
65,8.13,87.0,1
66,6.41,113.0,0
67,7.7,97.0,0
68,6.93,100.0,0
69,5.73,140.0,0
70,6.93,137.0,1
71,8.35,127.0,1
72,6.46,93.0,0
73,8.38,109.0,0
74,4.0,139.0,0
75,7.49,118.0,1
76,6.6,161.0,1
77,6.14,123.0,1
78,6.61,119.0,0
79,4.11,109.0,0
80,6.24,118.0,0
81,6.93,112.0,1
82,8.27,129.0,1
83,5.88,134.0,0
84,5.53,99.0,0
85,5.9,88.0,0
86,7.6,80.0,0
87,6.89,125.0,0
88,5.86,93.0,0
89,7.12,80.0,0
90,6.62,123.0,1
91,7.66,165.0,1
92,5.66,115.0,0
93,6.11,132.0,1
94,6.03,117.0,0
95,4.74,113.0,0
96,6.86,133.0,0
97,6.81,109.0,0
98,6.51,120.0,0
99,6.22,121.0,0
100,4.8,102.0,0
101,6.0,135.0,1
102,6.09,112.0,0
103,5.54,100.0,0
104,6.31,126.0,0
105,6.98,97.0,0
106,8.76,116.0,1
107,6.71,115.0,1
108,6.81,137.0,0
109,6.41,124.0,0
110,4.2,114.0,0
111,6.47,131.0,1
112,6.57,143.0,1
113,9.46,126.0,1
114,6.27,115.0,0
115,6.86,89.0,0
116,6.46,94.0,0
117,5.1,109.0,0
118,7.87,103.0,0
119,7.4,111.0,0
120,7.45,116.0,1
121,5.41,126.0,1
122,8.18,114.0,1
123,4.82,125.0,0
124,7.2,116.0,1
125,9.13,80.0,1
126,5.31,96.0,0
127,5.82,112.0,0
128,6.62,91.0,1
129,5.9,127.0,0
130,4.64,146.0,0
131,6.58,139.0,0
132,5.23,111.0,1
133,7.07,145.0,0
134,5.4,118.0,0
135,8.36,108.0,1
136,5.56,103.0,0
137,6.11,109.0,0
138,7.48,107.0,0
139,5.02,118.0,0
140,6.77,118.0,0
141,8.07,115.0,0
142,4.57,124.0,0
143,6.72,139.0,0
144,6.81,134.0,1
145,7.44,85.0,0
146,5.02,80.0,0
147,4.92,134.0,0
148,7.13,88.0,0
149,6.86,111.0,1
150,6.8,92.0,0
151,6.92,80.0,0
152,5.68,126.0,1
153,6.78,130.0,1
154,6.85,103.0,0
155,5.64,80.0,0
156,8.74,104.0,0
157,7.07,123.0,0
158,5.07,85.0,0
159,7.29,119.0,1
160,5.33,115.0,0
161,7.44,127.0,1
162,7.89,117.0,1
163,5.52,96.0,0
164,7.66,139.0,1
165,7.0,112.0,0
166,7.49,114.0,0
167,8.78,96.0,1
168,6.21,106.0,0
169,5.6,97.0,0
170,5.43,112.0,0
171,5.52,149.0,0
172,6.41,88.0,0
173,6.91,83.0,0
174,6.83,144.0,1
175,7.49,111.0,0
176,6.52,102.0,0
177,8.24,136.0,1
178,6.18,103.0,0
179,9.76,152.0,1
180,7.25,129.0,1
181,5.47,105.0,0
182,5.21,158.0,0
183,7.08,103.0,1
184,6.23,130.0,1
185,7.36,121.0,0
186,7.07,141.0,0
187,6.41,146.0,0
188,5.48,116.0,0
189,4.68,100.0,0
190,5.96,124.0,0
191,7.53,101.0,0
192,6.76,155.0,1
193,5.01,118.0,0
194,6.71,108.0,0
195,6.96,119.0,0
196,5.44,88.0,0
197,6.68,96.0,0
198,6.57,139.0,1
199,5.13,102.0,0
200,6.93,94.0,0
201,7.17,126.0,1
202,7.8,139.0,1
203,7.76,129.0,0
204,4.85,135.0,0
205,5.37,100.0,0
206,7.12,87.0,0
207,7.12,145.0,0
208,7.12,109.0,1
209,10.0,110.0,1
210,7.19,142.0,1
211,7.86,126.0,0
212,7.64,124.0,1
213,7.28,158.0,1
214,6.12,102.0,0
215,7.41,134.0,1
216,5.57,116.0,0
217,6.22,120.0,0
218,5.92,146.0,1
219,6.6,125.0,1
220,9.28,126.0,1
221,4.26,136.0,0
222,7.32,108.0,1
223,4.56,98.0,0
224,5.93,94.0,0
225,7.81,80.0,0
226,6.58,156.0,0
227,5.21,93.0,0
228,5.64,111.0,0
229,7.32,109.0,0
230,5.62,121.0,0
231,6.76,131.0,1
232,6.55,132.0,0
233,5.72,103.0,0
234,9.07,112.0,1
235,7.26,121.0,1
236,4.07,110.0,0
237,6.72,147.0,1
238,5.71,125.0,0
239,7.52,130.0,1
240,5.55,128.0,1
241,6.36,138.0,0
242,7.11,119.0,0
243,7.54,89.0,0
244,5.06,123.0,0
245,6.1,102.0,0
246,5.93,104.0,0
247,5.72,127.0,0
248,8.62,140.0,0
249,6.99,115.0,1
250,4.99,121.0,0
251,7.6,149.0,1
252,9.05,120.0,1
253,7.74,167.0,1
254,4.68,126.0,0
255,5.92,80.0,0
256,8.02,130.0,0
257,5.65,123.0,0
258,7.03,141.0,1
259,7.43,128.0,1
260,5.39,112.0,0
261,6.43,91.0,0
262,4.0,111.0,0
263,5.27,98.0,1
264,6.2,103.0,0
265,5.0,127.0,0
266,8.46,148.0,1
267,4.78,123.0,0
268,5.97,91.0,1
269,6.66,124.0,1
270,8.23,139.0,1
271,4.78,103.0,1
272,7.9,112.0,1
273,6.51,115.0,0
274,5.32,99.0,0
275,7.05,128.0,0
276,6.74,113.0,0
277,5.78,123.0,0
278,6.58,97.0,0
279,6.04,106.0,0
280,6.64,129.0,1
281,7.29,108.0,0
282,8.4,150.0,1
283,5.01,107.0,0
284,9.06,119.0,1
285,4.16,134.0,0
286,6.32,87.0,0
287,7.21,80.0,0
288,6.84,84.0,0
289,5.75,140.0,0
290,6.25,104.0,0
291,5.91,166.0,1
292,5.79,104.0,0
293,7.52,119.0,0
294,6.93,146.0,1
295,5.67,155.0,1
296,7.58,156.0,1
297,6.87,139.0,0
298,7.48,135.0,1
299,7.26,127.0,1
300,5.51,131.0,0
301,5.83,104.0,0
302,7.4,99.0,0
303,7.23,115.0,1
304,6.47,112.0,0
305,6.64,106.0,0
306,8.03,129.0,1
307,5.79,134.0,0
308,7.16,117.0,0
309,6.26,145.0,1
310,6.24,92.0,0
311,7.82,111.0,1
312,7.49,101.0,0
313,7.48,80.0,0
314,8.07,113.0,1
315,6.53,113.0,0
316,7.32,145.0,1
317,6.13,128.0,0
318,6.89,95.0,0
319,6.34,152.0,1
320,6.62,139.0,1
321,7.21,127.0,0
322,5.52,110.0,0
323,9.01,96.0,1
324,5.29,108.0,0
325,5.04,137.0,0
326,7.89,153.0,1
327,7.45,146.0,1
328,7.25,105.0,0
329,7.25,93.0,0
330,6.49,118.0,1
331,5.42,80.0,0
332,6.59,121.0,0
333,5.69,112.0,0
334,7.67,106.0,1
335,6.32,83.0,0
336,5.51,125.0,0
337,6.11,104.0,0
338,7.0,92.0,1
339,5.82,80.0,0
340,5.51,114.0,0
341,6.79,150.0,1
342,6.79,148.0,1
343,5.89,106.0,0
344,5.93,103.0,0
345,6.78,124.0,0
346,4.76,95.0,0
347,4.81,121.0,1
348,5.64,130.0,0
349,6.24,140.0,0
350,6.87,113.0,1
351,8.27,111.0,1
352,7.53,97.0,0
353,6.31,98.0,0
354,6.48,110.0,0
355,5.3,122.0,0
356,6.48,133.0,0
357,6.15,99.0,0
358,6.89,145.0,0
359,5.51,110.0,0
360,7.12,115.0,0
361,8.34,100.0,0
362,6.37,80.0,0
363,6.98,133.0,0
364,7.33,130.0,1
365,6.02,109.0,0
366,6.77,116.0,1
367,6.52,125.0,0
368,6.62,84.0,0
369,5.57,104.0,0
370,6.53,131.0,0
371,7.1,90.0,0
372,8.24,121.0,1
373,7.65,88.0,0
374,9.08,124.0,1
375,5.58,114.0,0
376,7.55,83.0,0
377,6.72,138.0,0
378,9.13,100.0,1
379,5.53,99.0,0
380,5.49,119.0,0
381,5.78,138.0,0
382,4.0,95.0,0
383,5.87,116.0,0
384,5.59,124.0,0
385,6.68,129.0,0
386,6.91,119.0,0
387,8.75,108.0,1
388,7.64,98.0,0
389,5.81,117.0,0
390,5.42,94.0,0
391,7.09,80.0,0
392,4.92,124.0,0
393,8.7,133.0,1
394,7.92,80.0,1
395,5.94,95.0,0
396,4.44,127.0,0
397,8.12,156.0,1
398,6.36,115.0,0
399,7.99,100.0,1
400,4.59,111.0,0
401,5.78,142.0,1
402,6.51,102.0,0
403,6.56,99.0,0
404,5.96,105.0,0
405,7.25,96.0,0
406,5.22,117.0,0
407,6.33,147.0,0
408,6.64,121.0,1
409,7.12,110.0,0
410,7.35,109.0,0
411,5.15,84.0,0
412,4.66,133.0,0
413,8.03,113.0,1
414,6.9,111.0,1
415,5.6,179.0,0
416,8.36,121.0,1
417,6.64,100.0,0
418,7.92,106.0,1
419,6.58,138.0,0
420,8.97,117.0,1
421,8.61,86.0,1
422,6.2,133.0,0
423,7.67,102.0,0
424,7.27,152.0,1
425,8.14,137.0,1
426,5.34,106.0,0
427,7.32,141.0,1
428,7.77,116.0,1
429,4.39,132.0,0
430,5.08,125.0,0
431,4.05,98.0,1
432,6.18,102.0,0
433,7.36,136.0,1
